"","word","n"
"1","sürücü",1008
"2","kadın",809
"3","polis",717
"4","kaza",516
"5","olay",495
"6","otomobil",460
"7","ekipleri",457
"8","sağlık",402
"9","plakalı",394
"10","meydana",379
"11","araç",377
"12","gelen",353
"13","alkollü",308
"14","sürücüsü",304
"15","ardından",295
"16","geldi",281
"17","çarptı",280
"18","üzerine",279
"19","trafik",251
"20","sürücünün",250
"21","edildi",242
"22","kazada",231
"23","bulunan",216
"24","sevk",195
"25","otomobilin",174
"26","2",172
"27","aracın",171
"28","yaralandı",171
"29","sonucu",169
"30","kaldırıldı",165
"31","direksiyon",156
"32","kullandığı",150
"33","yol",146
"34","mahallesi",144
"35","devlet",142
"36","üzerinde",141
"37","süre",138
"38","hastaneye",136
"39","seyir",135
"40","saat",132
"41","hakimiyetini",130
"42","edinilen",128
"43","yaralı",127
"44","yaralanan",126
"45","dur",123
"46","güvenlik",123
"47","bilgiye",116
"48","çıkan",115
"49","idaresindeki",114
"50","112",112
"51","ilçesinde",112
"52","aracı",111
"53","sürücüsünün",111
"54","ihtarına",109
"55","şekilde",107
"56","yönetimindeki",107
"57","nin",105
"58","alındı",103
"59","kazayı",102
"60","sırada",102
"61","yapan",101
"62","acil",100
"63","öğrenildi",100
"64","vatandaşlar",100
"65","yola",99
"66","hafif",98
"67","alınan",97
"68","aracına",96
"69","başladı",95
"70","ekiplerinin",95
"71","kazanın",95
"72","park",95
"73","devam",94
"74","kazayla",94
"75","motosiklet",94
"76","promil",91
"77","sıralarında",91
"78","soruşturma",91
"79","gözaltına",90
"80","tespit",90
"81","emniyet",89
"82","otomobili",89
"83","takla",88
"84","edilen",87
"85","itfaiye",87
"86","halinde",84
"87","yerinde",84
"88","34",83
"89","çarparak",82
"90","ü",82
"91","e",81
"92","fren",81
"93","hayatını",81
"94","karşı",81
"95","saatlerinde",81
"96","başlattı",80
"97","inceleme",80
"98","merkezine",80
"99","ağır",79
"100","çıktı",79
"101","polisin",79
"102","çevredeki",78
"103","ilçesi",78
"104","kaçan",78
"105","sonrası",78
"106","tedavi",78
"107","yolun",77
"108","haber",76
"109","yansıdı",76
"110","kadının",75
"111","reyhan",75
"112","uygulama",74
"113","yaşındaki",74
"114","dedi",73
"115","3",72
"116","etkisiyle",72
"117","ali",71
"118","araca",70
"119","caddesi",70
"120","ekiplerince",70
"121","i̇hbar",70
"122","kişi",70
"123","araçtan",69
"124","başlatıldı",69
"125","gören",69
"126","yerinden",69
"127","ceza",68
"128","k",68
"129","götürüldü",67
"130","anlar",66
"131","ekipler",66
"132","kaçmaya",66
"133","5",65
"134","ambulansla",65
"135","gaza",65
"136","girdi",65
"137","kaybetti",65
"138","saniye",65
"139","küçük",64
"140","yolda",64
"141","geçen",63
"142","istikametine",63
"143","a",62
"144","ticari",62
"145","çalıştı",61
"146","çarpmanın",61
"147","ekiplerine",61
"148","istedi",61
"149","kontrolden",61
"150","uzun",61
"151","altına",60
"152","anda",60
"153","bağlı",60
"154","yaklaşık",60
"155","aracını",59
"156","araçta",59
"157","bölgeye",59
"158","hastanesi’ne",59
"159","hızla",59
"160","i̇ddiaya",59
"161","ekibi",58
"162","sürücüye",58
"163","sürücüyü",58
"164","verdi",58
"165","bariyerlere",57
"166","hastanesi'ne",57
"167","kamerasına",57
"168","otomobiliyle",57
"169","gece",56
"170","kazaya",56
"171","cep",55
"172","kaybetmesi",55
"173","yolcu",55
"174","çarptığı",54
"175","sokağa",54
"176","durumu",53
"177","erkek",53
"178","uymayan",53
"179","kısa",52
"180","alkol",51
"181","esnada",51
"182","içerisinde",51
"183","yandan",51
"184","i̇stanbul",50
"185","isteyen",50
"186","vatandaşların",50
"187","yolu",50
"188","halindeki",49
"189","hastanesine",49
"190","işlem",49
"191","son",49
"192","t",49
"193","arkadaşı",48
"194","bildirdi",48
"195","çalışan",48
"196","hastanede",48
"197","ihbarı",48
"198","emre",47
"199","hayati",47
"200","müdürlüğü",47
"201","yardımıyla",47
"202","cezası",46
"203","içinde",46
"204","isimli",46
"205","adrese",45
"206","çarpan",45
"207","mahallesi'nde",45
"208","otomobile",45
"209","16",44
"210","ahmet",44
"211","aracının",44
"212","bulunduğu",44
"213","çekici",44
"214","el",44
"215","metre",44
"216","polisi",44
"217","yakalandı",44
"218","yaşamını",44
"219","yoldan",44
"220","çıkarak",43
"221","çıkma",43
"222","durumunun",43
"223","otomobilden",43
"224","yara",43
"225","20",42
"226","akşam",42
"227","aldı",42
"228","anı",42
"229","ankara",42
"230","bulundu",42
"231","döndü",42
"232","genç",42
"233","karşısına",42
"234","yere",42
"235","45",41
"236","dün",41
"237","gebze",41
"238","jandarma",41
"239","kaldırıma",41
"240","öte",41
"241","otomobilde",41
"242","telefonu",41
"243","alan",40
"244","elif",40
"245","öğrenilirken",40
"246","önüne",40
"247","para",40
"248","arkadan",39
"249","d",39
"250","iddia",39
"251","olayla",39
"252","trafikte",39
"253","uymayarak",39
"254","yardım",39
"255","10",38
"256","altında",38
"257","belirlendi",38
"258","bilgilere",38
"259","ehliyetsiz",38
"260","giden",38
"261","yaralılar",38
"262","07",37
"263","attı",37
"264","çarpıştı",37
"265","çevredekilerin",37
"266","fatih",37
"267","kaçtı",37
"268","karayolu",37
"269","kovalamaca",37
"270","memuru",37
"271","ters",37
"272","tıp",37
"273","yaşanan",37
"274","almadan",36
"275","büyük",36
"276","caddesi’nde",36
"277","çocuk",36
"278","hasar",36
"279","kaldırdı",36
"280","kaybettiği",36
"281","lira",36
"282","ö",36
"283","otobüs",36
"284","sürede",36
"285","trafiğe",36
"286","ambulans",35
"287","çarpması",35
"288","d.ç",35
"289","görüldü",35
"290","görüntülerde",35
"291","kazadan",35
"292","kırmızı",35
"293","kusurlu",35
"294","müdahalesinin",35
"295","şoförü",35
"296","takip",35
"297","yer",35
"298","15",34
"299","2021",34
"300","35",34
"301","arasında",34
"302","aynı",34
"303","ehliyetine",34
"304","gitmek",34
"305","otomobille",34
"306","sıkışan",34
"307","sürücülerin",34
"308","tedaviye",34
"309","yan",34
"310","yanında",34
"311","50",33
"312","ambulansa",33
"313","aracıyla",33
"314","araştırma",33
"315","bulunmadığı",33
"316","daldı",33
"317","devrildi",33
"318","durdu",33
"319","hemen",33
"320","kadına",33
"321","ön",33
"322","raporda",33
"323","seyreden",33
"324","söyledi",33
"325","teslim",33
"326","uçtu",33
"327","yaya",33
"328","09",32
"329","alkolmetreyi",32
"330","atan",32
"331","caddesi'nde",32
"332","çalışma",32
"333","dönen",32
"334","fark",32
"335","geçmek",32
"336","geldiği",32
"337","halindeyken",32
"338","ihlali",32
"339","istikametinden",32
"340","kaybeden",32
"341","lüks",32
"342","müdahaleyi",32
"343","taksi",32
"344","tehlikesinin",32
"345","tepki",32
"346","tl",32
"347","ye",32
"348","12",31
"349","4",31
"350","6",31
"351","adam",31
"352","beton",31
"353","can",31
"354","durdurmak",31
"355","eşi",31
"356","ihlal",31
"357","kaybederek",31
"358","kontrolde",31
"359","merkez",31
