"","word","n"
"1","sürücü",345
"2","polis",336
"3","otomobil",241
"4","olay",219
"5","ekipleri",214
"6","kaza",207
"7","sağlık",197
"8","plakalı",196
"9","meydana",171
"10","araç",168
"11","gelen",164
"12","sürücüsü",157
"13","ardından",131
"14","kazada",127
"15","edildi",125
"16","kadın",125
"17","geldi",122
"18","çarptı",120
"19","üzerine",114
"20","sevk",110
"21","alkollü",108
"22","devlet",96
"23","sonucu",93
"24","trafik",92
"25","yaralandı",92
"26","kaldırıldı",87
"27","direksiyon",86
"28","2",81
"29","bulunan",78
"30","yaralı",75
"31","dur",72
"32","sürücünün",72
"33","hakimiyetini",70
"34","idaresindeki",69
"35","edinilen",68
"36","112",65
"37","yaralanan",65
"38","mahallesi",64
"39","hastaneye",63
"40","ihtarına",63
"41","kullandığı",63
"42","seyir",63
"43","sürücüsünün",62
"44","alındı",61
"45","ilçesinde",60
"46","yönetimindeki",59
"47","bilgiye",58
"48","itfaiye",56
"49","aracın",55
"50","yol",55
"51","soruşturma",54
"52","acil",53
"53","aracına",51
"54","nin",51
"55","saat",50
"56","otomobilin",49
"57","kazayı",48
"58","kazayla",48
"59","öğrenildi",48
"60","üzerinde",48
"61","hayatını",47
"62","kaçan",47
"63","başlatıldı",45
"64","takla",45
"65","bariyerlere",44
"66","ekiplerince",44
"67","saatlerinde",44
"68","ali",43
"69","gözaltına",43
"70","hafif",43
"71","motosiklet",43
"72","çıkan",42
"73","polisin",42
"74","çarparak",41
"75","emniyet",41
"76","başladı",40
"77","başlattı",40
"78","hastanesi'ne",40
"79","karşı",40
"80","sıralarında",40
"81","ağır",39
"82","alınan",39
"83","ekiplerinin",39
"84","inceleme",38
"85","kaybetmesi",38
"86","süre",38
"87","promil",37
"88","tedavi",37
"89","aracı",36
"90","vatandaşlar",36
"91","yerinde",36
"92","34",35
"93","edilen",35
"94","şekilde",35
"95","tespit",35
"96","yapan",35
"97","altına",34
"98","e",34
"99","gece",34
"100","hastanesi’ne",34
"101","i̇hbar",34
"102","halinde",33
"103","kaçmaya",33
"104","kaybetti",33
"105","kontrolden",33
"106","a",32
"107","d.ç",32
"108","haber",32
"109","araçta",31
"110","bölgeye",31
"111","yolda",31
"112","araçtan",30
"113","caddesi",30
"114","götürüldü",30
"115","merkezine",30
"116","sırada",30
"117","yakalandı",30
"118","3",29
"119","45",29
"120","ambulansla",29
"121","bağlı",29
"122","kişi",29
"123","çekici",28
"124","devam",28
"125","ilçesi",28
"126","jandarma",28
"127","uymayan",28
"128","güvenlik",27
"129","ihbarı",27
"130","istikametine",27
"131","yaşamını",27
"132","yaşındaki",27
"133","hastanesine",26
"134","kazanın",26
"135","otomobili",26
"136","sonrası",26
"137","ticari",26
"138","uymayarak",26
"139","yardımıyla",26
"140","yola",26
"141","anda",25
"142","bulunduğu",25
"143","çıktı",25
"144","durumu",25
"145","gören",25
"146","hastanede",25
"147","işlem",25
"148","yolcu",25
"149","50",24
"150","ankara",24
"151","ekibi",24
"152","mahallesi'nde",24
"153","memuru",24
"154","nevşehir",24
"155","sürücüye",24
"156","tıp",24
"157","uygulama",24
"158","5",23
"159","devrildi",23
"160","ekipler",23
"161","i̇ddiaya",23
"162","kovalamaca",23
"163","müdürlüğü",23
"164","bilgilere",22
"165","elif",22
"166","hızla",22
"167","k",22
"168","kaldırdı",22
"169","karayolu",22
"170","kavşağında",22
"171","kaybettiği",22
"172","yaklaşık",22
"173","yolun",22
"174","20",21
"175","çevredeki",21
"176","direğine",21
"177","el",21
"178","etkisiyle",21
"179","geçen",21
"180","içinde",21
"181","kaldırılarak",21
"182","kısa",21
"183","öğrenilirken",21
"184","yerden",21
"185","yerinden",21
"186","akşam",20
"187","altında",20
"188","çevredekilerin",20
"189","durumunun",20
"190","hayati",20
"191","i̇zmir",20
"192","salihli",20
"193","yan",20
"194","09",19
"195","2021",19
"196","adrese",19
"197","atan",19
"198","çalışma",19
"199","çarpmanın",19
"200","ekiplerine",19
"201","girdi",19
"202","i̇lçe",19
"203","otomobiliyle",19
"204","sokağa",19
"205","sürücüyü",19
"206","taburcu",19
"207","ters",19
"208","üniversitesi",19
"209","vatandaşların",19
"210","yolu",19
"211","ambulans",18
"212","aydınlatma",18
"213","belirlendi",18
"214","belirtildi",18
"215","beton",18
"216","bulundu",18
"217","çalıştı",18
"218","çarptığı",18
"219","cezai",18
"220","cezası",18
"221","dün",18
"222","giden",18
"223","halindeyken",18
"224","hastanesi",18
"225","istikametinden",18
"226","olayla",18
"227","otomobile",18
"228","şahıs",18
"229","tedavisinin",18
"230","teslim",18
"231","uçhisar",18
"232","35",17
"233","çalışan",17
"234","d",17
"235","g",17
"236","genç",17
"237","isteyen",17
"238","kalp",17
"239","marka",17
"240","sıkışan",17
"241","su",17
"242","sürücülerin",17
"243","tedaviye",17
"244","trafiğe",17
"245","verdi",17
"246","yansıdı",17
"247","yer",17
"248","yitirdi",17
"249","15",16
"250","adli",16
"251","alt",16
"252","attı",16
"253","bahçelievler",16
"254","bildirdi",16
"255","bornova",16
"256","çağrı",16
"257","çarptıktan",16
"258","ceza",16
"259","dedi",16
"260","istedi",16
"261","kanalına",16
"262","kaybeden",16
"263","kazaya",16
"264","kontrolünü",16
"265","lira",16
"266","morguna",16
"267","müdahalenin",16
"268","otomobilden",16
"269","otomobille",16
"270","polisi",16
"271","tl",16
"272","1",15
"273","4",15
"274","araştırma",15
"275","atarak",15
"276","aynı",15
"277","b",15
"278","belirlenen",15
"279","çıkarak",15
"280","çıkma",15
"281","esnada",15
"282","fark",15
"283","hemen",15
"284","krizi",15
"285","mevkiinde",15
"286","müdahale",15
"287","otomobilde",15
"288","sürüyor",15
"289","tehlikesinin",15
"290","tır",15
"291","trafikte",15
"292","uygulandı",15
"293","yönden",15
"294","alan",14
"295","araca",14
"296","aracında",14
"297","aracının",14
"298","araçların",14
"299","arkadan",14
"300","çarpıştı",14
"301","çarpması",14
"302","döndü",14
"303","dönen",14
"304","durdurmak",14
"305","ehliyetine",14
"306","eşi",14
"307","ferhat",14
"308","iddia",14
"309","i̇stanbul",14
"310","kadının",14
"311","kamerasına",14
"312","kullanmaktan",14
"313","kurtardı",14
"314","meltem",14
"315","metre",14
"316","müdahalesinin",14
"317","saniye",14
"318","şarampole",14
"319","şeride",14
"320","servis",14
"321","son",14
"322","sürede",14
"323","uçtu",14
"324","y",14
"325","yandan",14
"326","yaralılar",14
"327","yaşanan",14
"328","yoldan",14
"329","757",13
"330","aldı",13
"331","belediye",13
"332","bulunmadığı",13
"333","büyük",13
"334","caddesi'nde",13
"335","durabildi",13
"336","gitmek",13
"337","görenlerin",13
"338","halindeki",13
"339","kenarındaki",13
"340","kusurlu",13
"341","müdahaleyi",13
"342","otobüs",13
"343","para",13
"344","sonrasında",13
"345","sürdüğü",13
"346","t",13
"347","yaralıları",13
"348","06",12
"349","16",12
"350","a.d",12
"351","adet",12
"352","alkol",12
"353","anlar",12
"354","ayakta",12
"355","badıllı",12
"356","bisiklet",12
"357","çarpan",12
"358","cenazesi",12
"359","çıkarıldı",12
"360","dc",12
"361","eğitim",12
"362","ehliyetsiz",12
"363","fakültesi",12
"364","hakkında",12
"365","hareket",12
"366","has",12
"367","ilçesine",12
"368","kaçtı",12
