"","word","n"
"1","sürücü",56
"2","kadın",49
"3","olay",24
"4","taksi",18
"5","üzerine",18
"6","aracın",17
"7","plakalı",14
"8","polis",13
"9","tartışma",13
"10","yerinden",13
"11","akat",12
"12","şoförü",12
"13","duru",11
"14","sürücüsü",11
"15","aracına",10
"16","kaza",10
"17","meydana",10
"18","akça",9
"19","aracını",9
"20","başladı",9
"21","arasında",8
"22","bayan",8
"23","çarptı",8
"24","dedi",8
"25","otomobil",8
"26","şekilde",8
"27","sırada",8
"28","üzerinde",8
"29","68",7
"30","araç",7
"31","aracı",7
"32","aşağı",7
"33","cep",7
"34","çevredeki",7
"35","devam",7
"36","ekipleri",7
"37","geldi",7
"38","hakaretler",7
"39","kazanın",7
"40","mahallesi",7
"41","mısın",7
"42","nesin",7
"43","önüne",7
"44","otomobilin",7
"45","telefonu",7
"46","vatandaşlar",7
"47","vatandaşların",7
"48","yamyam",7
"49","yaya",7
"50","004",6
"51","akat’ın",6
"52","alakan",6
"53","ardından",6
"54","arkadan",6
"55","bayanlıkla",6
"56","çalıştı",6
"57","çıkan",6
"58","gelen",6
"59","gitti",6
"60","i̇ki",6
"61","indi",6
"62","kt",6
"63","süre",6
"64","sürerek",6
"65","sürücüyü",6
"66","tekme",6
"67","tokat",6
"68","2",5
"69","alan",5
"70","alkollü",5
"71","anbean",5
"72","aniden",5
"73","çekti",5
"74","çıktı",5
"75","darp",5
"76","dikkat",5
"77","diyerek",5
"78","durdu",5
"79","gözaltına",5
"80","güvenlik",5
"81","hala",5
"82","hızla",5
"83","ışıkta",5
"84","kadının",5
"85","kişi",5
"86","kullandığı",5
"87","maddi",5
"88","raporu",5
"89","rukiye",5
"90","seyir",5
"91","sırasında",5
"92","sürücünün",5
"93","tartıştı",5
"94","trafikte",5
"95","uzaklaştı",5
"96","yeşil",5
"97","yol",5
"98","10",4
"99","anne",4
"100","arabaya",4
"101","araca",4
"102","arzu",4
"103","bulvarı",4
"104","caddesi",4
"105","çarpan",4
"106","demesi",4
"107","duran",4
"108","etmeye",4
"109","geçidinden",4
"110","görüntülendi",4
"111","ilçesi",4
"112","istedi",4
"113","kadına",4
"114","kahramanoğlu",4
"115","kamerasıyla",4
"116","korna",4
"117","melek",4
"118","saatlerinde",4
"119","sağlık",4
"120","son",4
"121","sürücüsünün",4
"122","trafik",4
"123","uzaklaşmak",4
"124","uzun",4
"125","vurdu",4
"126","yanına",4
"127","zonguldak'ta",4
"128","06",3
"129","5",3
"130","ağza",3
"131","akat'ın",3
"132","alınmayacak",3
"133","amcam",3
"134","anı",3
"135","anlam",3
"136","anlar",3
"137","arabama",3
"138","arabanın",3
"139","araçlarından",3
"140","araçlarını",3
"141","araya",3
"142","arkamda",3
"143","arkamdan",3
"144","arkasında",3
"145","atladım",3
"146","ayrıldı",3
"147","bakıyordum",3
"148","bayağı",3
"149","beklerken",3
"150","belliydi",3
"151","binen",3
"152","binerek",3
"153","binerken",3
"154","bununla",3
"155","caddesi’nde",3
"156","çaldı",3
"157","çalışan",3
"158","çarptığı",3
"159","davacı",3
"160","dayım",3
"161","dediği",3
"162","duman",3
"163","durdurarak",3
"164","durdurmaya",3
"165","etimesgut",3
"166","ettiririm",3
"167","feci",3
"168","geçerek",3
"169","gelmesi",3
"170","girmesiyle",3
"171","görmedim",3
"172","gözüktüğü",3
"173","hafiften",3
"174","haklısın",3
"175","halindeki",3
"176","halindeyken",3
"177","hasarlı",3
"178","hikmet",3
"179","hpu",3
"180","içinde",3
"181","i̇ddiaya",3
"182","imdadına",3
"183","indim",3
"184","işıklar",3
"185","işıklarda",3
"186","kaçacağı",3
"187","kaçtı",3
"188","kaldırıldı",3
"189","kalktım",3
"190","kamerasına",3
"191","kamerasınca",3
"192","kaydedildi",3
"193","kazadan",3
"194","korkunç",3
"195","lafa",3
"196","meselesi",3
"197","meşrutiyet",3
"198","milletvekili",3
"199","normal",3
"200","öfkeli",3
"201","öğle",3
"202","ol",3
"203","olayın",3
"204","olduğuna",3
"205","otomobiliyle",3
"206","özer",3
"207","polisin",3
"208","saat",3
