"","word","n"
"1","kadın",794
"2","sürücü",590
"3","kaza",247
"4","olay",244
"5","polis",202
"6","otomobil",178
"7","meydana",172
"8","gelen",159
"9","sürücünün",151
"10","plakalı",149
"11","ekipleri",145
"12","geldi",144
"13","araç",143
"14","sağlık",140
"15","çarptı",132
"16","üzerine",130
"17","sürücüsü",121
"18","aracın",118
"19","ardından",113
"20","trafik",110
"21","bulunan",101
"22","kazada",90
"23","park",83
"24","süre",78
"25","güvenlik",77
"26","direksiyon",76
"27","hastaneye",76
"28","kadının",75
"29","vatandaşlar",75
"30","yol",75
"31","kullandığı",72
"32","otomobilin",72
"33","2",71
"34","fren",68
"35","hakimiyetini",68
"36","üzerinde",68
"37","seyir",67
"38","saat",66
"39","şekilde",66
"40","gaza",65
"41","motosiklet",63
"42","aracı",62
"43","edildi",58
"44","çevredeki",57
"45","çıkan",57
"46","saniye",55
"47","hafif",54
"48","sırada",54
"49","alkollü",53
"50","dedi",53
"51","devam",53
"52","araca",52
"53","erkek",52
"54","kaldırıldı",52
"55","sevk",51
"56","yansıdı",51
"57","yaralandı",51
"58","otomobili",50
"59","anlar",49
"60","sonucu",49
"61","yaralı",48
"62","kazanın",47
"63","aracını",46
"64","bilgiye",46
"65","edinilen",46
"66","emniyet",46
"67","mahallesi",46
"68","sıralarında",46
"69","takla",46
"70","yapan",46
"71","yola",46
"72","yolun",46
"73","başladı",45
"74","yaralanan",45
"75","araçtan",44
"76","i̇ddiaya",44
"77","sürücüyü",44
"78","halinde",43
"79","yerinden",43
"80","e",42
"81","girdi",42
"82","34",41
"83","çıktı",41
"84","sürücüsünün",41
"85","ticari",41
"86","cep",40
"87","saatlerinde",40
"88","uzun",40
"89","5",39
"90","anda",38
"91","gören",38
"92","112",37
"93","haber",37
"94","içerisinde",37
"95","karşı",37
"96","trafikte",37
"97","ambulansla",36
"98","halindeki",36
"99","öğrenildi",36
"100","otomobiliyle",36
"101","sonrası",36
"102","aracına",35
"103","ilçesi",35
"104","ilçesinde",35
"105","kamerasına",35
"106","kazayı",35
"107","son",35
"108","yere",35
"109","caddesi",34
"110","çarpmanın",34
"111","edilen",34
"112","idaresindeki",34
"113","çarptığı",33
"114","etkisiyle",33
"115","kadına",33
"116","sürücüye",33
"117","çarpan",32
"118","esnada",32
"119","geçen",32
"120","önüne",32
"121","yolda",32
"122","anı",31
"123","çalıştı",31
"124","telefonu",31
"125","vatandaşların",31
"126","16",30
"127","3",30
"128","çarparak",30
"129","devlet",30
"130","isteyen",30
"131","lüks",30
"132","otobüs",30
"133","şoförü",30
"134","taksi",30
"135","yaklaşık",30
"136","yaşındaki",30
"137","yönetimindeki",30
"138","ağır",29
